"id","created_at","updated_at","building_id","floor_number","bounds","room_category_id","room_type_id","code","label_position","position","default_visible","floor_id","icon","hse_id","schedule_url","campus_id"
1132,"2020-01-28 13:23:02","2020-11-23 17:20:05",9,7,"[[[3060.56,1772.5399999999997],[3030.57,1764.2399999999998],[3004.98,1857.6899999999998],[3034.97,1865.9899999999998],[3060.56,1772.5399999999997],[3060.56,1772.5399999999997]]]",245,1542,"S723",,,TRUE,65,,,,1
1131,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[3019.68,1761.2199999999998],[2982.32,1750.8799999999999],[2956.73,1844.33],[2994.09,1854.6699999999998],[3019.68,1761.2199999999998],[3019.68,1761.2199999999998]]]",245,1542,"S724",,,TRUE,65,,,,1
1101,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2971.24,1747.8099999999997],[2930.49,1736.5299999999997],[2904.9,1829.9699999999998],[2945.65,1841.2599999999998],[2971.24,1747.8099999999997],[2971.24,1747.8099999999997]]]",245,1542,"S725",,,TRUE,65,,,,1
1111,"2020-01-28 13:23:01","2020-11-23 17:20:06",9,7,"[[[2919.44,1733.4599999999998],[2879.25,1722.34],[2853.66,1815.7899999999997],[2893.84,1826.9099999999999],[2919.44,1733.4599999999998],[2919.44,1733.4599999999998]]]",245,1542,"S726",,,TRUE,65,,,,1
1103,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2868.12,1719.2499999999998],[2830.85,1708.9299999999998],[2805.26,1802.3799999999999],[2842.53,1812.6999999999998],[2868.12,1719.2499999999998],[2868.12,1719.2499999999998]]]",245,1542,"S727",,,TRUE,65,,,,1
1104,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2819.74,1705.86],[2779.09,1694.6],[2753.5,1788.0499999999997],[2794.15,1799.2999999999997],[2819.74,1705.86],[2819.74,1705.86]]]",245,1542,"S728",,,TRUE,65,,,,1
1123,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2768.94,1691.7099999999998],[2678.78,1666.8199999999997],[2653.36,1760.3199999999997],[2743.51,1785.1999999999998],[2768.94,1691.7099999999998],[2768.94,1691.7099999999998]]]",245,1542,"S729",,,TRUE,65,,,,1
1115,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2558.56,1633.5399999999995],[2524.22,1624.0299999999997],[2498.61,1717.61],[2532.95,1727.12],[2558.56,1633.5399999999995],[2558.56,1633.5399999999995]]]",245,1542,"S730",,,TRUE,65,,,,1
1117,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2512.93,1620.9],[2471.52,1609.44],[2445.91,1703.0199999999998],[2487.32,1714.4799999999998],[2512.93,1620.9],[2512.93,1620.9]]]",245,1542,"S731",,,TRUE,65,,,,1
1124,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2460.51,1606.3899999999999],[2420.45,1595.2999999999997],[2394.84,1688.8799999999999],[2434.9,1699.9699999999998],[2460.51,1606.3899999999999],[2460.51,1606.3899999999999]]]",245,1542,"S732",,,TRUE,65,,,,1
1114,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2404.98,1591.0099999999998],[2367.01,1580.4999999999995],[2341.4,1674.08],[2379.37,1684.6],[2404.98,1591.0099999999998],[2404.98,1591.0099999999998]]]",245,1542,"S733",,,TRUE,65,,,,1
1122,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2356.47,1577.58],[2315.73,1566.2999999999997],[2290.13,1659.8799999999997],[2330.86,1671.1599999999999],[2356.47,1577.58],[2356.47,1577.58]]]",245,1542,"S734",,,TRUE,65,,,,1
1108,"2020-01-28 13:23:01","2020-11-23 17:20:06",9,7,"[[[2304.69,1563.2499999999995],[2263.14,1551.7399999999998],[2237.54,1645.3199999999997],[2279.08,1656.83],[2304.69,1563.2499999999995],[2304.69,1563.2499999999995]]]",245,1542,"S735",,,TRUE,65,,,,1
1105,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2252.4,1548.77],[2209.87,1536.9899999999998],[2184.26,1630.58],[2226.8,1642.35],[2252.4,1548.77],[2252.4,1548.77]]]",245,1542,"S736",,,TRUE,65,,,,1
1102,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2198.72,1533.9099999999999],[2167.01,1525.1299999999997],[2141.4,1618.7099999999996],[2173.11,1627.4899999999998],[2198.72,1533.9099999999999],[2198.72,1533.9099999999999]]]",245,1542,"S737",,,TRUE,65,,,,1
1110,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2087.6,1503.1399999999999],[2048.89,1492.4199999999996],[2022.86,1587.6799999999998],[2061.57,1598.4],[2087.6,1503.1399999999999],[2087.6,1503.1399999999999]]]",245,1542,"S738",,,TRUE,65,,,,1
1109,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[2037.87,1489.37],[1998.3,1478.4099999999999],[1972.28,1573.6699999999996],[2011.84,1584.6299999999997],[2037.87,1489.37],[2037.87,1489.37]]]",245,1542,"S739",,,TRUE,65,,,,1
1130,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[1987.33,1475.37],[1948.71,1464.6799999999998],[1922.69,1559.94],[1961.3,1570.6299999999997],[1987.33,1475.37],[1987.33,1475.37]]]",245,1542,"S740",,,TRUE,65,,,,1
1129,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,7,"[[[1937.62,1461.6100000000001],[1893.03,1449.27],[1865.81,1544.1999999999998],[1911.6,1556.87],[1937.62,1461.6100000000001],[1937.62,1461.6100000000001]]]",245,1542,"S741",,,TRUE,65,,,,1
1281,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,8,"[[[1973.47,1310.7199999999998],[1934.53,1299.9899999999998],[1907.89,1396.7099999999996],[1946.83,1407.44],[1973.47,1310.7199999999998],[1973.47,1310.7199999999998],[1973.47,1310.7199999999998]]]",245,1542,"S801",,,TRUE,69,,,,1
1266,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,8,"[[[2023.75,1324.56],[1984.69,1313.81],[1958.05,1410.5299999999997],[1997.11,1421.2899999999995],[2023.75,1324.56],[2023.75,1324.56],[2023.75,1324.56]]]",245,1542,"S802",,,TRUE,69,,,,1
1283,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,8,"[[[2008.21,1424.3399999999997],[2057.52,1437.9299999999998],[2084.16,1341.1999999999998],[2034.85,1327.62],[2008.21,1424.3399999999997],[2008.21,1424.3399999999997],[2008.21,1424.3399999999997]]]",245,1542,"S803",,,TRUE,69,,,,1
1254,"2020-01-28 13:23:06","2020-11-23 17:20:06",9,8,"[[[2127.33,1353.0899999999997],[2095.67,1344.37],[2069.03,1441.1],[2100.69,1449.8199999999997],[2127.33,1353.0899999999997],[2127.33,1353.0899999999997],[2127.33,1353.0899999999997]]]",1,,"S804",,,TRUE,69,,,,1
1285,"2020-01-28 13:23:01","2020-11-23 17:20:06",9,8,"[[[2276.06,1484.81],[2285.14,1487.31],[2281.73,1499.6799999999998],[2315.95,1509.1100000000001],[2342.59,1412.3799999999997],[2283.49,1396.1],[2274.26,1429.6100000000001],[2290.07,1433.9699999999998],[2276.06,1484.81],[2276.06,1484.81],[2276.06,1484.81]]]",245,1542,"S805",,,TRUE,69,,,,1
1139,"2020-01-28 13:23:06","2020-11-23 17:20:15",10,7,"[[[4173.38,1711.37],[4129.39,1711.8999999999999],[4130.49,1803.7399999999998],[4174.48,1803.2099999999998],[4173.38,1711.37],[4173.38,1711.37]]]",245,1542,"T711",,,TRUE,66,,,,1
1259,"2020-01-28 13:23:01","2020-11-23 17:20:06",9,8,"[[[2327.26,1512.2199999999998],[2368.79,1523.6599999999999],[2395.43,1426.94],[2353.9,1415.4999999999995],[2327.26,1512.2199999999998],[2327.26,1512.2199999999998],[2327.26,1512.2199999999998]]]",245,1542,"S806",,,TRUE,69,,,,1
1260,"2020-01-28 13:23:01","2020-11-23 17:20:06",9,8,"[[[2447.22,1441.1999999999998],[2406.74,1430.0499999999997],[2380.1,1526.7799999999997],[2420.58,1537.9199999999996],[2447.22,1441.1999999999998],[2447.22,1441.1999999999998],[2447.22,1441.1999999999998]]]",245,1542,"S807",,,TRUE,69,,,,1
1265,"2020-01-28 13:23:01","2020-11-23 17:20:06",9,8,"[[[2501.32,1456.1],[2458.36,1444.27],[2431.72,1540.9999999999995],[2474.68,1552.83],[2501.32,1456.1],[2501.32,1456.1],[2501.32,1456.1]]]",245,1542,"S808",,,TRUE,69,,,,1
1282,"2020-01-28 13:23:06","2020-11-23 17:20:07",9,8,"[[[2485.82,1555.9],[2526.32,1567.0499999999997],[2552.96,1470.33],[2512.47,1459.1699999999996],[2485.82,1555.9],[2485.82,1555.9],[2485.82,1555.9]]]",245,1542,"S809",,,TRUE,69,,,,1
1263,"2020-01-28 13:23:06","2020-11-23 17:20:07",9,8,"[[[2606.05,1484.9499999999998],[2564.12,1473.4],[2537.47,1570.12],[2579.41,1581.6699999999996],[2606.05,1484.9499999999998],[2606.05,1484.9499999999998],[2606.05,1484.9499999999998]]]",245,1542,"S810",,,TRUE,69,,,,1
1267,"2020-01-28 13:23:06","2020-11-23 17:20:07",9,8,"[[[2649.19,1496.83],[2621.49,1489.1999999999998],[2594.85,1585.9299999999998],[2622.55,1593.56],[2649.19,1496.83],[2649.19,1496.83],[2649.19,1496.83]]]",1,,"S811",,,TRUE,69,,,,1
