id,type,room_id,campus_id
1716,roomDoor,467,1
1717,corridor,-1,1
1885,corridor,-1,1
1886,roomDoor,756,1
1887,corridor,-1,1
1888,roomDoor,759,1
1889,corridor,-1,1
1890,roomDoor,760,1
1891,corridor,-1,1
1892,roomDoor,755,1
1893,corridor,-1,1
1895,roomDoor,766,1
1896,corridor,-1,1
1897,roomDoor,764,1
1898,corridor,-1,1
1899,roomDoor,758,1
1900,corridor,-1,1
1901,roomDoor,780,1
2009,roomDoor,717,1
2010,corridor,-1,1
2011,roomDoor,721,1
5,corridor,-1,1
6,elevator,-1,1
8,corridor,-1,1
72,corridor,-1,1
73,corridor,-1,1
204,corridor,-1,1
205,roomDoor,102,1
206,corridor,-1,1
207,roomDoor,123,1
208,corridor,-1,1
209,roomDoor,117,1
210,corridor,-1,1
211,roomDoor,118,1
423,roomDoor,68,1
424,corridor,-1,1
425,corridor,-1,1
427,corridor,-1,1
692,roomDoor,213,1
693,corridor,-1,1
694,stairs,-1,1
695,corridor,-1,1
696,corridor,-1,1
697,corridor,-1,1
698,roomDoor,203,1
699,corridor,-1,1
700,roomDoor,207,1
701,roomDoor,203,1
995,corridor,-1,1
996,stairs,-1,1
997,corridor,-1,1
999,corridor,-1,1
1000,roomDoor,219,1
1155,roomDoor,327,1
1156,corridor,-1,1
1157,corridor,-1,1
1158,roomDoor,322,1
1159,roomDoor,324,1
1160,stairs,-1,1
1718,roomDoor,469,1
1719,corridor,-1,1
1721,corridor,-1,1
1722,roomDoor,468,1
1723,corridor,-1,1
1724,corridor,-1,1
1725,roomDoor,464,1
1727,stairs,-1,1
1728,roomDoor,465,1
1729,roomDoor,465,1
1730,corridor,-1,1
1732,roomDoor,459,1
1733,roomDoor,458,1
1735,corridor,-1,1
1736,corridor,-1,1
1737,corridor,-1,1
1902,corridor,-1,1
1903,roomDoor,770,1
1904,corridor,-1,1
1905,roomDoor,773,1
1906,corridor,-1,1
1907,stairs,-1,1
1908,corridor,-1,1
1909,roomDoor,710,1
1910,corridor,-1,1
1911,roomDoor,707,1
1912,corridor,-1,1
1914,corridor,-1,1
1915,stairs,-1,1
1916,corridor,-1,1
1917,corridor,-1,1
1918,corridor,-1,1
1919,corridor,-1,1
1920,corridor,-1,1
1921,corridor,-1,1
1922,corridor,-1,1
1923,corridor,-1,1
10,corridor,-1,1
11,corridor,-1,1
429,roomDoor,65,1
430,corridor,-1,1
431,corridor,-1,1
432,corridor,-1,1
433,roomDoor,63,1
434,corridor,-1,1
436,corridor,-1,1
437,corridor,-1,1
438,corridor,-1,1
439,corridor,-1,1
440,corridor,-1,1
441,stairs,-1,1
442,roomDoor,1,1
444,roomDoor,77,1
446,roomDoor,77,1
447,stairs,-1,1
448,corridor,-1,1
449,corridor,-1,1
450,corridor,-1,1
451,roomDoor,73,1
452,corridor,-1,1
453,roomDoor,70,1
1001,corridor,-1,1
1002,roomDoor,235,1
1003,corridor,-1,1
1161,corridor,-1,1
1162,corridor,-1,1
1163,roomDoor,285,1
1164,corridor,-1,1
1165,roomDoor,286,1
1166,corridor,-1,1
1167,roomDoor,284,1
1168,roomDoor,287,1
1169,corridor,-1,1
1170,roomDoor,283,1
1171,corridor,-1,1
1172,roomDoor,282,1
1173,elevator,-1,1
1174,corridor,-1,1
1176,elevator,-1,1
1177,corridor,-1,1
1178,corridor,-1,1
1179,stairs,-1,1
1180,roomDoor,288,1
1181,corridor,-1,1
1182,roomDoor,293,1
1183,corridor,-1,1
1184,roomDoor,289,1
1185,corridor,-1,1
1186,roomDoor,295,1
1187,corridor,-1,1
1189,corridor,-1,1
1190,roomDoor,294,1
1191,corridor,-1,1
1192,roomDoor,291,1
1193,corridor,-1,1
1194,roomDoor,297,1
1195,corridor,-1,1
1196,roomDoor,290,1
1924,stairs,-1,1
1925,corridor,-1,1
1926,stairs,-1,1
1927,elevator,-1,1
1928,corridor,-1,1
1930,corridor,-1,1
1931,corridor,-1,1
1932,corridor,-1,1
1933,corridor,-1,1
1934,corridor,-1,1
1936,corridor,-1,1
1937,stairs,-1,1
1938,corridor,-1,1
13,stairs,-1,1
75,corridor,-1,1
454,corridor,-1,1
455,corridor,-1,1
456,roomDoor,72,1
457,corridor,-1,1
458,corridor,-1,1
459,corridor,-1,1
460,corridor,-1,1
461,roomDoor,52,1
462,corridor,-1,1
463,roomDoor,57,1
464,corridor,-1,1
1005,corridor,-1,1
1006,roomDoor,238,1
1007,corridor,-1,1
1009,roomDoor,236,1
1010,corridor,-1,1
1012,roomDoor,231,1
1013,corridor,-1,1
1014,roomDoor,234,1
1015,corridor,-1,1
1016,roomDoor,222,1
1017,corridor,-1,1
1018,corridor,-1,1
1019,corridor,-1,1
1197,corridor,-1,1
1198,stairs,-1,1
1199,corridor,-1,1
1200,corridor,-1,1
1202,roomDoor,256,1
1203,corridor,-1,1
1204,roomDoor,266,1
1205,corridor,-1,1
1206,roomDoor,264,1
1207,corridor,-1,1
1208,roomDoor,265,1
1209,corridor,-1,1
1210,stairs,-1,1
1211,corridor,-1,1
1212,corridor,-1,1
1213,corridor,-1,1
1215,corridor,-1,1
1216,roomDoor,259,1
1217,corridor,-1,1
1218,roomDoor,261,1
1219,corridor,-1,1
1220,roomDoor,260,1
1221,corridor,-1,1
1222,elevator,-1,1
1223,corridor,-1,1
1224,roomDoor,269,1
1225,roomDoor,262,1
1226,corridor,-1,1
1227,roomDoor,258,1
1230,corridor,-1,1
1939,roomDoor,742,1
1940,corridor,-1,1
1941,roomDoor,737,1
1942,corridor,-1,1
1943,roomDoor,709,1
1944,roomDoor,739,1
1945,corridor,-1,1
1946,roomDoor,743,1
1947,corridor,-1,1
1948,stairs,-1,1
1949,corridor,-1,1
1950,stairs,-1,1
1952,roomDoor,752,1
1953,corridor,-1,1
1954,roomDoor,748,1
1955,corridor,-1,1
1956,roomDoor,744,1
1957,corridor,-1,1
1958,roomDoor,747,1
15,corridor,-1,1
16,roomDoor,171,1
17,corridor,-1,1
18,roomDoor,167,1
19,roomDoor,168,1
76,corridor,-1,1
77,elevator,-1,1
78,roomDoor,154,1
79,corridor,-1,1
465,roomDoor,53,1
466,corridor,-1,1
468,corridor,-1,1
469,roomDoor,56,1
470,corridor,-1,1
471,roomDoor,58,1
472,corridor,-1,1
473,roomDoor,55,1
474,corridor,-1,1
475,roomDoor,62,1
476,corridor,-1,1
477,roomDoor,54,1
478,corridor,-1,1
479,elevator,-1,1
480,corridor,-1,1
481,corridor,-1,1
483,corridor,-1,1
484,stairs,-1,1
1020,roomDoor,228,1
1021,roomDoor,230,1
1022,corridor,-1,1
1023,stairs,-1,1
1024,corridor,-1,1
1025,roomDoor,220,1
1026,corridor,-1,1
1027,stairs,-1,1
1233,roomDoor,263,1
1234,roomDoor,278,1
1236,roomDoor,267,1
1237,corridor,-1,1
1238,roomDoor,268,1
1239,roomDoor,267,1
1240,roomDoor,271,1
1241,roomDoor,268,1
1242,roomDoor,274,1
1243,roomDoor,254,1
1245,corridor,-1,1
1246,stairs,-1,1
1247,corridor,-1,1
1248,roomDoor,274,1
1249,corridor,-1,1
1250,roomDoor,275,1
1252,corridor,-1,1
1253,roomDoor,254,1
1255,roomDoor,254,1
1256,roomDoor,254,1
1257,roomDoor,254,1
1959,corridor,-1,1
1961,corridor,-1,1
1962,roomDoor,740,1
1963,roomDoor,738,1
1964,corridor,-1,1
1965,roomDoor,722,1
1966,corridor,-1,1
1967,roomDoor,713,1
1968,corridor,-1,1
1969,roomDoor,718,1
1970,corridor,-1,1
1971,roomDoor,714,1
1972,corridor,-1,1
1974,corridor,-1,1
1975,roomDoor,715,1
1976,corridor,-1,1
1977,roomDoor,729,1
1978,roomDoor,731,1
4033,corridor,-1,1
4034,corridor,-1,1
4036,corridor,-1,1
4037,corridor,-1,1
4038,corridor,-1,1
4039,stairs,-1,1
4040,roomDoor,1507,1
4041,corridor,-1,1
4042,roomDoor,1508,1
4043,corridor,-1,1
4044,corridor,-1,1
4045,corridor,-1,1
4046,stairs,-1,1
4047,corridor,-1,1
4048,corridor,-1,1
4049,corridor,-1,1
4050,stairs,-1,1
4051,corridor,-1,1
4053,roomDoor,1517,1
4054,corridor,-1,1
4055,corridor,-1,1
4056,elevator,-1,1
4057,corridor,-1,1
4058,roomDoor,1514,1
4059,corridor,-1,1
4060,roomDoor,1516,1
4061,corridor,-1,1
4062,corridor,-1,1
4063,corridor,-1,1
4064,corridor,-1,1
4065,corridor,-1,1
4066,corridor,-1,1
4067,corridor,-1,1
4068,roomDoor,1518,1
4070,roomDoor,1515,1
4071,corridor,-1,1
4072,roomDoor,1509,1
4073,corridor,-1,1
4074,corridor,-1,1
4075,corridor,-1,1
4076,corridor,-1,1
4077,stairs,-1,1
4078,corridor,-1,1
4079,corridor,-1,1
4080,corridor,-1,1
4081,corridor,-1,1
4082,corridor,-1,1
4083,roomDoor,1511,1
4084,corridor,-1,1
4085,elevator,-1,1
4087,roomDoor,1510,1
4088,corridor,-1,1
4089,corridor,-1,1
4090,corridor,-1,1
4091,roomDoor,1512,1
4092,corridor,-1,1
4093,corridor,-1,1
4094,corridor,-1,1
4095,corridor,-1,1
4096,stairs,-1,1
4097,corridor,-1,1
4098,corridor,-1,1
4099,corridor,-1,1
4100,corridor,-1,1
4101,corridor,-1,1
4102,corridor,-1,1
4103,corridor,-1,1
4104,corridor,-1,1
4106,corridor,-1,1
4107,corridor,-1,1
4108,corridor,-1,1
4109,roomDoor,1533,1
4110,corridor,-1,1
4111,corridor,-1,1
4112,corridor,-1,1
4113,stairs,-1,1
4115,corridor,-1,1
4116,corridor,-1,1
4118,roomDoor,1532,1
4119,corridor,-1,1
4120,corridor,-1,1
4121,corridor,-1,1
4122,corridor,-1,1
4123,corridor,-1,1
4124,corridor,-1,1
4125,corridor,-1,1
4126,stairs,-1,1
4127,corridor,-1,1
4128,corridor,-1,1
4129,roomDoor,1531,1
4130,corridor,-1,1
4131,corridor,-1,1
4132,corridor,-1,1
4133,corridor,-1,1
4134,elevator,-1,1
4135,corridor,-1,1
4137,corridor,-1,1
4138,corridor,-1,1
4139,corridor,-1,1
4140,corridor,-1,1
4141,corridor,-1,1
4142,corridor,-1,1
4143,corridor,-1,1
4144,corridor,-1,1
4145,corridor,-1,1
4146,corridor,-1,1
4147,corridor,-1,1
4148,corridor,-1,1
4149,corridor,-1,1
4150,elevator,-1,1
4151,corridor,-1,1
4152,corridor,-1,1
4153,corridor,-1,1
4154,corridor,-1,1
4155,corridor,-1,1
4156,corridor,-1,1
4157,corridor,-1,1
4158,corridor,-1,1
4159,corridor,-1,1
4160,corridor,-1,1
4162,corridor,-1,1
4163,corridor,-1,1
4164,corridor,-1,1
4165,stairs,-1,1
4166,roomDoor,1519,1
4167,roomDoor,1520,1
4168,corridor,-1,1
4169,corridor,-1,1
4170,corridor,-1,1
4171,roomDoor,1521,1
4172,corridor,-1,1
4173,roomDoor,1523,1
4174,corridor,-1,1
4175,corridor,-1,1
4177,corridor,-1,1
4178,stairs,-1,1
4179,corridor,-1,1
4180,roomDoor,1525,1
4181,corridor,-1,1
4182,corridor,-1,1
4183,elevator,-1,1
4184,corridor,-1,1
4185,roomDoor,1524,1
4186,corridor,-1,1
4187,roomDoor,1526,1
4188,corridor,-1,1
4189,corridor,-1,1
4190,corridor,-1,1
4192,corridor,-1,1
4193,roomDoor,1529,1
4194,corridor,-1,1
4195,roomDoor,1528,1
4197,roomDoor,1527,1
4198,corridor,-1,1
4200,corridor,-1,1
4201,corridor,-1,1
4202,roomDoor,1609,1
4203,corridor,-1,1
4204,corridor,-1,1
4205,roomDoor,1607,1
4206,corridor,-1,1
4207,roomDoor,1613,1
4208,roomDoor,1612,1
4209,roomDoor,1612,1
4210,corridor,-1,1
4212,roomDoor,1603,1
4213,corridor,-1,1
4214,roomDoor,1612,1
4215,roomDoor,1612,1
4216,roomDoor,1603,1
4217,corridor,-1,1
4218,roomDoor,1603,1
4219,roomDoor,1605,1
4220,corridor,-1,1
4221,roomDoor,1606,1
4222,corridor,-1,1
4224,corridor,-1,1
4225,roomDoor,1591,1
4226,roomDoor,1594,1
4227,corridor,-1,1
4228,roomDoor,1590,1
4229,roomDoor,1594,1
4230,roomDoor,1592,1
4231,roomDoor,1594,1
4232,roomDoor,1595,1
4234,roomDoor,1594,1
4235,roomDoor,1594,1
4236,roomDoor,1593,1
4237,roomDoor,1594,1
4238,stairs,-1,1
4239,corridor,-1,1
4240,roomDoor,1594,1
4241,roomDoor,1602,1
4242,roomDoor,1601,1
4244,roomDoor,1598,1
4245,roomDoor,1598,1
4246,corridor,-1,1
4247,corridor,-1,1
4248,corridor,-1,1
4249,corridor,-1,1
4250,corridor,-1,1
4251,stairs,-1,1
4252,corridor,-1,1
4253,corridor,-1,1
4254,corridor,-1,1
4255,stairs,-1,1
4257,stairs,-1,1
4258,corridor,-1,1
4259,roomDoor,1599,1
4260,roomDoor,1597,1
4261,corridor,-1,1
4262,corridor,-1,1
4263,corridor,-1,1
4264,roomDoor,1589,1
4265,corridor,-1,1
4266,corridor,-1,1
4267,corridor,-1,1
4268,roomDoor,1596,1
4269,corridor,-1,1
4270,corridor,-1,1
4271,corridor,-1,1
4272,corridor,-1,1
4274,corridor,-1,1
4275,corridor,-1,1
4276,corridor,-1,1
4277,roomDoor,1631,1
4279,corridor,-1,1
4280,roomDoor,1634,1
4281,corridor,-1,1
4282,roomDoor,1629,1
4284,corridor,-1,1
4285,roomDoor,1647,1
4286,corridor,-1,1
4287,roomDoor,1647,1
4288,corridor,-1,1
4289,roomDoor,1630,1
4290,corridor,-1,1
4291,roomDoor,1628,1
4292,corridor,-1,1
4293,roomDoor,1635,1
4294,corridor,-1,1
4295,roomDoor,1647,1
4297,roomDoor,1646,1
4298,corridor,-1,1
4299,roomDoor,1645,1
4300,corridor,-1,1
4301,roomDoor,1648,1
4302,elevator,-1,1
4303,stairs,-1,1
4304,corridor,-1,1
4305,corridor,-1,1
4306,corridor,-1,1
4307,roomDoor,1636,1
4308,corridor,-1,1
4310,stairs,-1,1
4311,corridor,-1,1
4312,roomDoor,1627,1
4313,roomDoor,1627,1
4314,roomDoor,1649,1
4315,roomDoor,1649,1
4316,corridor,-1,1
4317,roomDoor,1641,1
4318,roomDoor,1627,1
4319,roomDoor,1627,1
4321,corridor,-1,1
4322,stairs,-1,1
4323,roomDoor,1627,1
4324,stairs,-1,1
4325,corridor,-1,1
4326,roomDoor,1617,1
4327,stairs,-1,1
4328,corridor,-1,1
4329,corridor,-1,1
4330,corridor,-1,1
4331,corridor,-1,1
4332,stairs,-1,1
4334,roomDoor,1582,1
4335,roomDoor,1582,1
4336,stairs,-1,1
4337,corridor,-1,1
4338,roomDoor,1581,1
4339,corridor,-1,1
