id,type,room_id,campus_id
2722,roomDoor,867,1
2726,roomDoor,877,1
2727,roomDoor,879,1
2729,roomDoor,878,1
2733,roomDoor,870,1
2735,roomDoor,876,1
2737,roomDoor,871,1
2739,roomDoor,872,1
2741,roomDoor,875,1
2743,roomDoor,873,1
2745,roomDoor,874,1
2746,roomDoor,868,1
2751,roomDoor,839,1
2755,roomDoor,826,1
2759,roomDoor,831,1
2761,roomDoor,830,1
2763,roomDoor,829,1
2768,roomDoor,827,1
2770,roomDoor,833,1
2772,roomDoor,836,1
2774,roomDoor,825,1
2776,roomDoor,838,1
2778,roomDoor,832,1
2780,roomDoor,837,1
2781,roomDoor,840,1
2783,roomDoor,841,1
2785,roomDoor,842,1
2791,roomDoor,846,1
2793,roomDoor,843,1
2797,roomDoor,850,1
2799,roomDoor,851,1
2804,roomDoor,853,1
2806,roomDoor,855,1
2808,roomDoor,858,1
2812,roomDoor,844,1
2814,roomDoor,835,1
2817,roomDoor,834,1
2819,roomDoor,852,1
2821,roomDoor,849,1
2823,roomDoor,856,1
2825,roomDoor,859,1
2827,roomDoor,860,1
2832,roomDoor,854,1
2833,roomDoor,862,1
2835,roomDoor,861,1
2836,roomDoor,861,1
2837,roomDoor,861,1
2838,roomDoor,801,1
2846,roomDoor,1037,1
2848,roomDoor,1044,1
2850,roomDoor,1032,1
2852,roomDoor,1042,1
2854,roomDoor,1031,1
2856,roomDoor,1049,1
2858,roomDoor,1036,1
2859,roomDoor,1034,1
2861,roomDoor,1048,1
2862,roomDoor,1027,1
2864,roomDoor,1026,1
2866,roomDoor,1029,1
2870,roomDoor,1025,1
2872,roomDoor,1024,1
2873,roomDoor,1035,1
2875,roomDoor,1033,1
2879,roomDoor,1050,1
2881,roomDoor,1038,1
2883,roomDoor,1043,1
2885,roomDoor,1039,1
2887,roomDoor,1040,1
2889,roomDoor,1041,1
2893,roomDoor,986,1
2895,roomDoor,983,1
2897,roomDoor,984,1
2913,roomDoor,988,1
2929,roomDoor,1022,1
2931,roomDoor,1018,1
2933,roomDoor,1014,1
2935,roomDoor,1017,1
2939,roomDoor,1012,1
2940,roomDoor,1011,1
2942,roomDoor,997,1
2944,roomDoor,989,1
2946,roomDoor,993,1
2948,roomDoor,990,1
2952,roomDoor,1007,1
2955,roomDoor,1002,1
2959,roomDoor,1003,1
2961,roomDoor,1020,1
2962,roomDoor,1010,1
2964,roomDoor,1004,1
2965,roomDoor,999,1
2967,roomDoor,1000,1
2971,roomDoor,1008,1
2973,roomDoor,1023,1
2975,roomDoor,994,1
2977,roomDoor,991,1
2979,roomDoor,992,1
2981,roomDoor,996,1
2984,roomDoor,995,1
2986,roomDoor,1006,1
2988,roomDoor,1016,1
2990,roomDoor,1015,1
2991,roomDoor,1019,1
2992,roomDoor,1013,1
3010,roomDoor,1082,1
3016,roomDoor,1093,1
3018,roomDoor,1088,1
3020,roomDoor,1089,1
3023,roomDoor,1091,1
3026,roomDoor,1087,1
3033,roomDoor,1084,1
3037,roomDoor,1085,1
3041,roomDoor,1083,1
3045,roomDoor,1081,1
3046,roomDoor,1081,1
3058,roomDoor,1095,1
3060,roomDoor,1092,1
3065,roomDoor,1087,1
3070,roomDoor,1090,1
3076,roomDoor,1093,1
3078,roomDoor,1095,1
3080,roomDoor,1094,1
3084,roomDoor,1096,1
3085,roomDoor,1096,1
3089,roomDoor,1086,1
3103,roomDoor,1064,1
3109,roomDoor,1051,1
3113,roomDoor,1063,1
3115,roomDoor,1056,1
3118,roomDoor,1057,1
3119,roomDoor,1078,1
3123,roomDoor,1079,1
3125,roomDoor,1077,1
3127,roomDoor,1076,1
3129,roomDoor,1062,1
3131,roomDoor,1075,1
3135,roomDoor,1060,1
3137,roomDoor,1073,1
3140,roomDoor,1072,1
3141,roomDoor,1059,1
3143,roomDoor,1058,1
3145,roomDoor,1066,1
3147,roomDoor,1071,1
3149,roomDoor,1070,1
3151,roomDoor,1068,1
3153,roomDoor,1067,1
3155,roomDoor,1065,1
3157,roomDoor,1053,1
3160,roomDoor,1061,1
3162,roomDoor,1069,1
3164,roomDoor,978,1
3166,roomDoor,981,1
3168,roomDoor,982,1
3174,roomDoor,959,1
3175,roomDoor,960,1
3179,roomDoor,963,1
3181,roomDoor,964,1
3186,roomDoor,966,1
3188,roomDoor,970,1
3190,roomDoor,974,1
3192,roomDoor,976,1
3194,roomDoor,977,1
3196,roomDoor,980,1
3200,roomDoor,973,1
3204,roomDoor,958,1
3206,roomDoor,1055,1
3208,roomDoor,961,1
3209,roomDoor,1054,1
3211,roomDoor,969,1
3214,roomDoor,962,1
3216,roomDoor,971,1
3218,roomDoor,975,1
3220,roomDoor,957,1
3221,roomDoor,967,1
3222,roomDoor,968,1
3227,roomDoor,1161,1
3230,roomDoor,1154,1
3232,roomDoor,1159,1
3234,roomDoor,1149,1
3236,roomDoor,1157,1
3240,roomDoor,1163,1
3242,roomDoor,1153,1
3243,roomDoor,1151,1
3245,roomDoor,1162,1
3246,roomDoor,1144,1
3248,roomDoor,1143,1
3250,roomDoor,1146,1
3252,roomDoor,1147,1
3254,roomDoor,1142,1
3256,roomDoor,1141,1
3257,roomDoor,1152,1
3259,roomDoor,1150,1
3265,roomDoor,1156,1
3267,roomDoor,1158,1
3269,roomDoor,1140,1
3271,roomDoor,1160,1
3273,roomDoor,1138,1
3274,roomDoor,1155,1
3279,roomDoor,1100,1
3281,roomDoor,1097,1
3290,roomDoor,1102,1
3293,roomDoor,1099,1
3296,roomDoor,1136,1
3300,roomDoor,1128,1
3302,roomDoor,1131,1
3304,roomDoor,1101,1
3306,roomDoor,1126,1
3307,roomDoor,1125,1
3309,roomDoor,1111,1
3313,roomDoor,1107,1
3315,roomDoor,1104,1
3317,roomDoor,1119,1
3319,roomDoor,1121,1
3322,roomDoor,1116,1
3324,roomDoor,1115,1
3326,roomDoor,1117,1
3328,roomDoor,1134,1
3329,roomDoor,1124,1
3331,roomDoor,1118,1
3332,roomDoor,1113,1
3334,roomDoor,1114,1
3338,roomDoor,1122,1
3340,roomDoor,1137,1
3342,roomDoor,1108,1
3344,roomDoor,1105,1
3346,roomDoor,1106,1
3348,roomDoor,1110,1
3351,roomDoor,1109,1
3353,roomDoor,1120,1
3355,roomDoor,1130,1
3357,roomDoor,1129,1
3358,roomDoor,1133,1
3359,roomDoor,1123,1
3363,roomDoor,1127,1
3367,roomDoor,1175,1
3371,roomDoor,1190,1
3375,roomDoor,1186,1
3381,roomDoor,1179,1
3383,roomDoor,1178,1
3385,roomDoor,1177,1
3387,roomDoor,1176,1
3390,roomDoor,1173,1
3391,roomDoor,1172,1
3393,roomDoor,1171,1
3395,roomDoor,1191,1
3396,roomDoor,1189,1
3398,roomDoor,1168,1
3399,roomDoor,1188,1
3401,roomDoor,1187,1
3402,roomDoor,1169,1
3404,roomDoor,1170,1
3407,roomDoor,1166,1
3409,roomDoor,1185,1
3411,roomDoor,1167,1
3413,roomDoor,1174,1
3415,roomDoor,1183,1
3417,roomDoor,1184,1
3419,roomDoor,1165,1
3421,roomDoor,1182,1
3423,roomDoor,1181,1
3425,roomDoor,1218,1
3427,roomDoor,1195,1
3431,roomDoor,1199,1
3435,roomDoor,1209,1
3436,roomDoor,1212,1
3438,roomDoor,1219,1
3440,roomDoor,1193,1
3443,roomDoor,1192,1
3445,roomDoor,1208,1
21,roomDoor,169,1
383,roomDoor,14,1
421,roomDoor,67,1
491,roomDoor,33,1
493,roomDoor,61,1
984,roomDoor,225,1
1259,roomDoor,268,1
1260,roomDoor,268,1
1261,roomDoor,268,1
1262,roomDoor,253,1
1264,roomDoor,578,1
1265,roomDoor,577,1
1881,roomDoor,765,1
1883,roomDoor,778,1
2003,roomDoor,753,1
2005,roomDoor,719,1
3447,roomDoor,1217,1
3451,roomDoor,1206,1
3452,roomDoor,1207,1
3453,roomDoor,1207,1
3454,roomDoor,1194,1
822,roomDoor,393,1
3457,roomDoor,1198,1
3459,roomDoor,1201,1
3461,roomDoor,1200,1
3467,roomDoor,1205,1
3468,roomDoor,1222,1
3469,roomDoor,1204,1
3471,roomDoor,1203,1
3473,roomDoor,1202,1
3475,roomDoor,1215,1
87,roomDoor,141,1
93,roomDoor,127,1
94,roomDoor,128,1
97,roomDoor,124,1
308,roomDoor,28,1
310,roomDoor,21,1
312,roomDoor,20,1
514,roomDoor,34,1
515,roomDoor,39,1
519,roomDoor,39,1
520,roomDoor,39,1
521,roomDoor,46,1
526,roomDoor,31,1
858,roomDoor,350,1
862,roomDoor,341,1
1046,roomDoor,245,1
1047,roomDoor,245,1
1049,roomDoor,245,1
1051,roomDoor,247,1
1326,roomDoor,556,1
1329,roomDoor,553,1
1333,roomDoor,514,1
1335,roomDoor,513,1
1337,roomDoor,508,1
1339,roomDoor,512,1
1343,roomDoor,505,1
1345,roomDoor,525,1
1347,roomDoor,503,1
1349,roomDoor,524,1
39,roomDoor,150,1
41,roomDoor,149,1
42,roomDoor,151,1
313,roomDoor,22,1
527,roomDoor,31,1
528,roomDoor,35,1
530,roomDoor,44,1
532,roomDoor,49,1
535,roomDoor,41,1
538,roomDoor,42,1
863,roomDoor,342,1
865,roomDoor,343,1
869,roomDoor,339,1
871,roomDoor,338,1
873,roomDoor,340,1
875,roomDoor,344,1
1056,roomDoor,245,1
1057,roomDoor,246,1
1059,roomDoor,248,1
1060,roomDoor,246,1
1353,roomDoor,500,1
1355,roomDoor,520,1
1357,roomDoor,518,1
1365,roomDoor,510,1
1370,roomDoor,516,1
1374,roomDoor,522,1
1376,roomDoor,519,1
1378,roomDoor,517,1
48,roomDoor,148,1
107,roomDoor,138,1
326,roomDoor,27,1
329,roomDoor,20,1
331,roomDoor,20,1
332,roomDoor,19,1
333,roomDoor,18,1
334,roomDoor,19,1
341,roomDoor,18,1
540,roomDoor,47,1
542,roomDoor,48,1
